  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   2.940000e+00,   1.000000e-04,   0.000000e+00,   0.000000e+00,   0.000000e+00,   5.336470e+00
  2.980000e+02,   3.355000e+00,   1.423494e-01,   5.200745e-02,   2.226823e-04,   7.736229e-02,   6.254228e-01
  2.980000e+02,   3.360000e+00,   2.852198e-01,   5.189028e-02,   2.219710e-04,   1.101020e-01,   8.808157e-01
  2.980000e+02,   3.365000e+00,   4.286012e-01,   5.183718e-02,   2.212633e-04,   1.356764e-01,   1.074238e+00
  2.980000e+02,   3.370000e+00,   5.724970e-01,   5.184801e-02,   2.205592e-04,   1.576138e-01,   1.235253e+00
  2.980000e+02,   3.375000e+00,   7.169106e-01,   5.192262e-02,   2.198586e-04,   1.772704e-01,   1.375374e+00
  2.980000e+02,   3.380000e+00,   8.618454e-01,   5.206083e-02,   2.191615e-04,   1.953367e-01,   1.500541e+00
  2.980000e+02,   3.385000e+00,   1.007305e+00,   5.226252e-02,   2.184678e-04,   2.122198e-01,   1.614301e+00
  2.980000e+02,   3.390000e+00,   1.153292e+00,   5.252752e-02,   2.177777e-04,   2.281831e-01,   1.718980e+00
  2.980000e+02,   3.395000e+00,   1.299811e+00,   5.285569e-02,   2.170909e-04,   2.434084e-01,   1.816201e+00
  2.980000e+02,   3.400000e+00,   1.446864e+00,   5.324689e-02,   2.164075e-04,   2.580267e-01,   1.907154e+00
  2.980000e+02,   3.422000e+00,   2.100334e+00,   5.571332e-02,   2.134403e-04,   3.172077e-01,   2.252043e+00
  3.154207e+02,   3.444000e+00,   2.792938e+00,   6.951314e-02,   2.434797e-04,   3.728489e-01,   2.547801e+00
  3.410687e+02,   3.466000e+00,   3.513983e+00,   9.069678e-02,   2.903226e-04,   4.258911e-01,   2.806347e+00
  3.650787e+02,   3.488000e+00,   4.247601e+00,   1.134960e-01,   3.348857e-04,   4.764256e-01,   3.032432e+00
  3.880618e+02,   3.510000e+00,   4.994152e+00,   1.379307e-01,   3.777806e-04,   5.252145e-01,   3.234216e+00
  4.102815e+02,   3.532000e+00,   5.754002e+00,   1.640217e-01,   4.192320e-04,   5.727407e-01,   3.417095e+00
  4.320365e+02,   3.554000e+00,   6.527511e+00,   1.917908e-01,   4.596032e-04,   6.193302e-01,   3.584853e+00
  4.535044e+02,   3.576000e+00,   7.315042e+00,   2.212611e-01,   4.991095e-04,   6.652143e-01,   3.740262e+00
  4.748149e+02,   3.598000e+00,   8.116955e+00,   2.524561e-01,   5.379094e-04,   7.105630e-01,   3.885419e+00
  4.960726e+02,   3.620000e+00,   8.933611e+00,   2.854006e-01,   5.761342e-04,   7.555054e-01,   4.021955e+00
  5.173640e+02,   3.642000e+00,   9.765366e+00,   3.201200e-01,   6.138937e-04,   8.001418e-01,   4.151163e+00
  5.387471e+02,   3.664000e+00,   1.061258e+01,   3.566405e-01,   6.512425e-04,   8.445517e-01,   4.274085e+00
  5.602949e+02,   3.686000e+00,   1.147560e+01,   3.949893e-01,   6.882810e-04,   8.887997e-01,   4.391576e+00
  5.820694e+02,   3.708000e+00,   1.235479e+01,   4.351942e-01,   7.250928e-04,   9.329385e-01,   4.504344e+00
  6.041200e+02,   3.730000e+00,   1.325050e+01,   4.772836e-01,   7.617365e-04,   9.770122e-01,   4.612982e+00
  6.264923e+02,   3.752000e+00,   1.416309e+01,   5.212869e-01,   7.982639e-04,   1.021058e+00,   4.717991e+00
  6.492095e+02,   3.774000e+00,   1.509290e+01,   5.672341e-01,   8.346621e-04,   1.065107e+00,   4.819801e+00
  6.723234e+02,   3.796000e+00,   1.604028e+01,   6.151557e-01,   8.710062e-04,   1.109187e+00,   4.918778e+00
  6.958780e+02,   3.818000e+00,   1.700560e+01,   6.650831e-01,   9.073544e-04,   1.153321e+00,   5.015241e+00
  7.198877e+02,   3.840000e+00,   1.798920e+01,   7.170482e-01,   9.436654e-04,   1.197531e+00,   5.109465e+00
  7.444015e+02,   3.862000e+00,   1.899144e+01,   7.710836e-01,   9.800177e-04,   1.241834e+00,   5.201694e+00
  7.694428e+02,   3.884000e+00,   2.001266e+01,   8.272226e-01,   1.016401e-03,   1.286246e+00,   5.292139e+00
  7.950484e+02,   3.906000e+00,   2.105322e+01,   8.854990e-01,   1.052853e-03,   1.330782e+00,   5.380989e+00
  8.212387e+02,   3.928000e+00,   2.211346e+01,   9.459472e-01,   1.089350e-03,   1.375455e+00,   5.468409e+00
  8.480547e+02,   3.950000e+00,   2.319376e+01,   1.008602e+00,   1.125949e-03,   1.420277e+00,   5.554549e+00
  8.755201e+02,   3.972000e+00,   2.429445e+01,   1.073500e+00,   1.162638e-03,   1.465258e+00,   5.639541e+00
  9.036582e+02,   3.994000e+00,   2.541590e+01,   1.140676e+00,   1.199402e-03,   1.510409e+00,   5.723503e+00
  9.325045e+02,   4.016000e+00,   2.655845e+01,   1.210168e+00,   1.236274e-03,   1.555737e+00,   5.806542e+00
  9.620860e+02,   4.038000e+00,   2.772248e+01,   1.282013e+00,   1.273254e-03,   1.601252e+00,   5.888756e+00
  9.924307e+02,   4.060000e+00,   2.890833e+01,   1.356248e+00,   1.310343e-03,   1.646960e+00,   5.970230e+00
  1.023567e+03,   4.082000e+00,   3.011637e+01,   1.432913e+00,   1.347546e-03,   1.692869e+00,   6.051045e+00
  1.055522e+03,   4.104000e+00,   3.134696e+01,   1.512046e+00,   1.384858e-03,   1.738986e+00,   6.131272e+00
  1.088322e+03,   4.126000e+00,   3.260047e+01,   1.593688e+00,   1.422263e-03,   1.785317e+00,   6.210976e+00
  1.122000e+03,   4.148000e+00,   3.387726e+01,   1.677878e+00,   1.459789e-03,   1.831867e+00,   6.290218e+00
  1.156583e+03,   4.170000e+00,   3.517770e+01,   1.764657e+00,   1.497421e-03,   1.878642e+00,   6.369053e+00
  1.192098e+03,   4.192000e+00,   3.650216e+01,   1.854067e+00,   1.535154e-03,   1.925646e+00,   6.447532e+00
  1.228575e+03,   4.214000e+00,   3.785102e+01,   1.946150e+00,   1.572983e-03,   1.972886e+00,   6.525700e+00
  1.266044e+03,   4.236000e+00,   3.922465e+01,   2.040948e+00,   1.610916e-03,   2.020365e+00,   6.603600e+00
  1.304533e+03,   4.258000e+00,   4.062343e+01,   2.138504e+00,   1.648940e-03,   2.068088e+00,   6.681273e+00
  1.344072e+03,   4.280000e+00,   4.204775e+01,   2.238863e+00,   1.687049e-03,   2.116059e+00,   6.758754e+00
  1.384691e+03,   4.302000e+00,   4.349798e+01,   2.342068e+00,   1.725237e-03,   2.164281e+00,   6.836078e+00
  1.426420e+03,   4.324000e+00,   4.497452e+01,   2.448165e+00,   1.763501e-03,   2.212760e+00,   6.913277e+00
  1.469291e+03,   4.346000e+00,   4.647777e+01,   2.557199e+00,   1.801840e-03,   2.261498e+00,   6.990379e+00
  1.513334e+03,   4.368000e+00,   4.800811e+01,   2.669216e+00,   1.840251e-03,   2.310500e+00,   7.067412e+00
  1.558579e+03,   4.390000e+00,   4.956594e+01,   2.784264e+00,   1.878713e-03,   2.359768e+00,   7.144401e+00
  1.605060e+03,   4.412000e+00,   5.115168e+01,   2.902390e+00,   1.917235e-03,   2.409306e+00,   7.221372e+00
  1.652808e+03,   4.434000e+00,   5.276572e+01,   3.023641e+00,   1.955809e-03,   2.459118e+00,   7.298345e+00
  1.701856e+03,   4.456000e+00,   5.440849e+01,   3.148068e+00,   1.994424e-03,   2.509206e+00,   7.375343e+00
  1.752235e+03,   4.478000e+00,   5.608038e+01,   3.275719e+00,   2.033072e-03,   2.559573e+00,   7.452386e+00
  1.803979e+03,   4.500000e+00,   5.778184e+01,   3.406645e+00,   2.071751e-03,   2.610223e+00,   7.529491e+00
  1.857123e+03,   4.522000e+00,   5.951328e+01,   3.540896e+00,   2.110457e-03,   2.661159e+00,   7.606677e+00
  1.911701e+03,   4.544000e+00,   6.127514e+01,   3.678525e+00,   2.149186e-03,   2.712384e+00,   7.683960e+00
  1.967746e+03,   4.566000e+00,   6.306784e+01,   3.819583e+00,   2.187924e-03,   2.763900e+00,   7.761357e+00
  2.025295e+03,   4.588000e+00,   6.489184e+01,   3.964124e+00,   2.226674e-03,   2.815710e+00,   7.838882e+00
  2.084381e+03,   4.610000e+00,   6.674758e+01,   4.112201e+00,   2.265424e-03,   2.867818e+00,   7.916551e+00
  2.145042e+03,   4.632000e+00,   6.863551e+01,   4.263870e+00,   2.304170e-03,   2.920225e+00,   7.994375e+00
  2.207313e+03,   4.654000e+00,   7.055608e+01,   4.419185e+00,   2.342908e-03,   2.972935e+00,   8.072370e+00
  2.271232e+03,   4.676000e+00,   7.250977e+01,   4.578203e+00,   2.381631e-03,   3.025951e+00,   8.150546e+00
  2.336834e+03,   4.698000e+00,   7.449704e+01,   4.740980e+00,   2.420313e-03,   3.079275e+00,   8.228916e+00
  2.404162e+03,   4.720000e+00,   7.651838e+01,   4.907575e+00,   2.459012e-03,   3.132910e+00,   8.307492e+00
  2.473248e+03,   4.742000e+00,   7.857425e+01,   5.078047e+00,   2.497653e-03,   3.186859e+00,   8.386284e+00
  2.544134e+03,   4.764000e+00,   8.066515e+01,   5.252454e+00,   2.536266e-03,   3.241123e+00,   8.465303e+00
  2.616859e+03,   4.786000e+00,   8.279157e+01,   5.430857e+00,   2.574849e-03,   3.295707e+00,   8.544559e+00
  2.691463e+03,   4.808000e+00,   8.495403e+01,   5.613317e+00,   2.613390e-03,   3.350613e+00,   8.624062e+00
  2.767984e+03,   4.830000e+00,   8.715301e+01,   5.799897e+00,   2.651881e-03,   3.405843e+00,   8.703821e+00
  2.846464e+03,   4.852000e+00,   8.938905e+01,   5.990659e+00,   2.690319e-03,   3.461400e+00,   8.783846e+00
  2.926943e+03,   4.874000e+00,   9.166266e+01,   6.185667e+00,   2.728702e-03,   3.517287e+00,   8.864145e+00
  3.009460e+03,   4.896000e+00,   9.397435e+01,   6.384986e+00,   2.767029e-03,   3.573506e+00,   8.944726e+00
  3.094062e+03,   4.918000e+00,   9.632469e+01,   6.588682e+00,   2.805302e-03,   3.630060e+00,   9.025599e+00
  3.180787e+03,   4.940000e+00,   9.871421e+01,   6.796821e+00,   2.843492e-03,   3.686952e+00,   9.106771e+00
  3.269679e+03,   4.962000e+00,   1.011435e+02,   7.009472e+00,   2.881624e-03,   3.744184e+00,   9.188251e+00
  3.360780e+03,   4.984000e+00,   1.036130e+02,   7.226703e+00,   2.919679e-03,   3.801760e+00,   9.270045e+00
  3.454134e+03,   5.006000e+00,   1.061234e+02,   7.448584e+00,   2.957670e-03,   3.859681e+00,   9.352161e+00
  3.549783e+03,   5.028000e+00,   1.086752e+02,   7.675184e+00,   2.995566e-03,   3.917951e+00,   9.434606e+00
  3.647773e+03,   5.050000e+00,   1.112691e+02,   7.906578e+00,   3.033389e-03,   3.976572e+00,   9.517388e+00
  3.748148e+03,   5.072000e+00,   1.139055e+02,   8.142836e+00,   3.071130e-03,   4.035547e+00,   9.600514e+00
  3.850951e+03,   5.094000e+00,   1.165851e+02,   8.384033e+00,   3.108785e-03,   4.094879e+00,   9.683990e+00
  3.956229e+03,   5.116000e+00,   1.193086e+02,   8.630244e+00,   3.146353e-03,   4.154571e+00,   9.767824e+00
  4.064028e+03,   5.138000e+00,   1.220765e+02,   8.881545e+00,   3.183833e-03,   4.214625e+00,   9.852021e+00
  4.174393e+03,   5.160000e+00,   1.248894e+02,   9.138015e+00,   3.221225e-03,   4.275044e+00,   9.936589e+00
  4.287370e+03,   5.182000e+00,   1.277480e+02,   9.399730e+00,   3.258512e-03,   4.335831e+00,   1.002153e+01
  4.331305e+03,   5.204000e+00,   1.308507e+02,   9.681400e+00,   3.299265e-03,   4.400315e+00,   1.011450e+01
  4.354693e+03,   5.226000e+00,   1.340672e+02,   9.973606e+00,   3.341910e-03,   4.466227e+00,   1.021019e+01
  4.377489e+03,   5.248000e+00,   1.373257e+02,   1.027110e+01,   3.385124e-03,   4.532346e+00,   1.030579e+01
  4.400902e+03,   5.270000e+00,   1.406192e+02,   1.057336e+01,   3.428751e-03,   4.598553e+00,   1.040102e+01
  4.423783e+03,   5.292000e+00,   1.439598e+02,   1.088132e+01,   3.473071e-03,   4.665042e+00,   1.049634e+01
  4.446546e+03,   5.314000e+00,   1.473462e+02,   1.119492e+01,   3.518060e-03,   4.731788e+00,   1.059171e+01
  4.469196e+03,   5.336000e+00,   1.507790e+02,   1.151423e+01,   3.563730e-03,   4.798794e+00,   1.068713e+01
  4.491738e+03,   5.358000e+00,   1.542588e+02,   1.183931e+01,   3.610092e-03,   4.866066e+00,   1.078262e+01
  4.516911e+03,   5.380000e+00,   1.577869e+02,   1.217030e+01,   3.657212e-03,   4.933617e+00,   1.087822e+01
  4.542937e+03,   5.402000e+00,   1.613582e+02,   1.250684e+01,   3.704930e-03,   5.001364e+00,   1.097375e+01
  4.588593e+03,   5.424000e+00,   1.649454e+02,   1.284680e+01,   3.752733e-03,   5.068883e+00,   1.106829e+01
  4.755993e+03,   5.446000e+00,   1.684184e+02,   1.318002e+01,   3.797473e-03,   5.134200e+00,   1.115756e+01
  4.926782e+03,   5.468000e+00,   1.719469e+02,   1.351966e+01,   3.841649e-03,   5.199932e+00,   1.124732e+01
  5.101026e+03,   5.490000e+00,   1.755316e+02,   1.386584e+01,   3.885287e-03,   5.266084e+00,   1.133757e+01
  5.278788e+03,   5.512000e+00,   1.791734e+02,   1.421864e+01,   3.928408e-03,   5.332659e+00,   1.142831e+01
  5.460133e+03,   5.534000e+00,   1.828731e+02,   1.457819e+01,   3.971032e-03,   5.399662e+00,   1.151956e+01
  5.645126e+03,   5.556000e+00,   1.866317e+02,   1.494458e+01,   4.013181e-03,   5.467096e+00,   1.161131e+01
  5.833837e+03,   5.578000e+00,   1.904500e+02,   1.531794e+01,   4.054878e-03,   5.534965e+00,   1.170358e+01
  6.026331e+03,   5.600000e+00,   1.943290e+02,   1.569836e+01,   4.096139e-03,   5.603274e+00,   1.179637e+01
  6.222676e+03,   5.622000e+00,   1.982697e+02,   1.608596e+01,   4.136980e-03,   5.672027e+00,   1.188969e+01
  6.422940e+03,   5.644000e+00,   2.022729e+02,   1.648087e+01,   4.177416e-03,   5.741229e+00,   1.198354e+01
