  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   3.350000e+00,   1.470848e-04,   5.218884e-02,   2.233972e-04,   0.000000e+00,   5.336470e+00
  2.983713e+02,   3.355000e+00,   1.429470e-01,   5.222067e-02,   2.233967e-04,   7.970404e-03,   5.348141e+00
  2.987431e+02,   3.360000e+00,   2.864135e-01,   5.231613e-02,   2.233978e-04,   1.594752e-02,   5.358366e+00
  2.991110e+02,   3.365000e+00,   4.303899e-01,   5.247529e-02,   2.233956e-04,   2.392696e-02,   5.367614e+00
  2.994739e+02,   3.370000e+00,   5.748803e-01,   5.269819e-02,   2.233891e-04,   3.190882e-02,   5.376637e+00
  2.998384e+02,   3.375000e+00,   7.198888e-01,   5.298490e-02,   2.233863e-04,   3.989322e-02,   5.385584e+00
  3.002047e+02,   3.380000e+00,   8.654192e-01,   5.333549e-02,   2.233879e-04,   4.788023e-02,   5.394506e+00
  3.005734e+02,   3.385000e+00,   1.011476e+00,   5.375002e-02,   2.233944e-04,   5.586997e-02,   5.403424e+00
  3.009447e+02,   3.390000e+00,   1.158062e+00,   5.422857e-02,   2.234068e-04,   6.386252e-02,   5.412349e+00
  3.013192e+02,   3.395000e+00,   1.305182e+00,   5.477121e-02,   2.234256e-04,   7.185800e-02,   5.421287e+00
  3.016970e+02,   3.400000e+00,   1.452841e+00,   5.537801e-02,   2.234515e-04,   7.985648e-02,   5.430241e+00
  3.034111e+02,   3.422000e+00,   2.109029e+00,   5.881239e-02,   2.236686e-04,   1.150880e-01,   5.469876e+00
  3.052352e+02,   3.444000e+00,   2.776046e+00,   6.349824e-02,   2.240991e-04,   1.503875e-01,   5.509942e+00
  3.072065e+02,   3.466000e+00,   3.454222e+00,   6.944417e-02,   2.248058e-04,   1.857626e-01,   5.550457e+00
  3.093397e+02,   3.488000e+00,   4.143887e+00,   7.665981e-02,   2.258255e-04,   2.212204e-01,   5.591426e+00
  3.115987e+02,   3.510000e+00,   4.845368e+00,   8.515573e-02,   2.271396e-04,   2.567680e-01,   5.632847e+00
  3.141118e+02,   3.532000e+00,   5.558985e+00,   9.494345e-02,   2.289125e-04,   2.924118e-01,   5.674718e+00
  3.169212e+02,   3.554000e+00,   6.285058e+00,   1.060353e-01,   2.312095e-04,   3.281584e-01,   5.717034e+00
  3.200099e+02,   3.576000e+00,   7.023902e+00,   1.184446e-01,   2.340289e-04,   3.640137e-01,   5.759792e+00
  3.233681e+02,   3.598000e+00,   7.775833e+00,   1.321853e-01,   2.373797e-04,   3.999836e-01,   5.802988e+00
  3.271362e+02,   3.620000e+00,   8.541159e+00,   1.472722e-01,   2.414373e-04,   4.360737e-01,   5.846617e+00
  3.312395e+02,   3.642000e+00,   9.320191e+00,   1.637209e-01,   2.461305e-04,   4.722892e-01,   5.890676e+00
  3.357434e+02,   3.664000e+00,   1.011323e+01,   1.815476e-01,   2.515528e-04,   5.086353e-01,   5.935159e+00
  3.406828e+02,   3.686000e+00,   1.092059e+01,   2.007691e-01,   2.577552e-04,   5.451170e-01,   5.980063e+00
  3.460354e+02,   3.708000e+00,   1.174257e+01,   2.214031e-01,   2.647278e-04,   5.817388e-01,   6.025384e+00
  3.518433e+02,   3.730000e+00,   1.257946e+01,   2.434677e-01,   2.725280e-04,   6.185052e-01,   6.071117e+00
  3.581535e+02,   3.752000e+00,   1.343156e+01,   2.669817e-01,   2.812274e-04,   6.554206e-01,   6.117259e+00
  3.648656e+02,   3.774000e+00,   1.429918e+01,   2.919644e-01,   2.907058e-04,   6.924891e-01,   6.163807e+00
  3.721005e+02,   3.796000e+00,   1.518261e+01,   3.184357e-01,   3.011213e-04,   7.297146e-01,   6.210755e+00
  3.798450e+02,   3.818000e+00,   1.608214e+01,   3.464161e-01,   3.124646e-04,   7.671008e-01,   6.258100e+00
  3.880767e+02,   3.840000e+00,   1.699806e+01,   3.759264e-01,   3.247084e-04,   8.046515e-01,   6.305840e+00
  3.967791e+02,   3.862000e+00,   1.793066e+01,   4.069882e-01,   3.378268e-04,   8.423699e-01,   6.353970e+00
  4.059960e+02,   3.884000e+00,   1.888025e+01,   4.396233e-01,   3.518773e-04,   8.802596e-01,   6.402487e+00
  4.157256e+02,   3.906000e+00,   1.984709e+01,   4.738542e-01,   3.668532e-04,   9.183235e-01,   6.451388e+00
  4.259689e+02,   3.928000e+00,   2.083149e+01,   5.097035e-01,   3.827488e-04,   9.565649e-01,   6.500670e+00
  4.367294e+02,   3.950000e+00,   2.183374e+01,   5.471947e-01,   3.995591e-04,   9.949866e-01,   6.550329e+00
  4.480124e+02,   3.972000e+00,   2.285411e+01,   5.863513e-01,   4.172803e-04,   1.033591e+00,   6.600362e+00
  4.597848e+02,   3.994000e+00,   2.389289e+01,   6.271976e-01,   4.358404e-04,   1.072382e+00,   6.650767e+00
  4.720836e+02,   4.016000e+00,   2.495038e+01,   6.697579e-01,   4.552816e-04,   1.111361e+00,   6.701541e+00
  4.849238e+02,   4.038000e+00,   2.602686e+01,   7.140572e-01,   4.756093e-04,   1.150531e+00,   6.752681e+00
  4.983094e+02,   4.060000e+00,   2.712262e+01,   7.601207e-01,   4.968079e-04,   1.189894e+00,   6.804184e+00
  5.121947e+02,   4.082000e+00,   2.823794e+01,   8.079742e-01,   5.187644e-04,   1.229453e+00,   6.856049e+00
  5.266561e+02,   4.104000e+00,   2.937310e+01,   8.576436e-01,   5.415940e-04,   1.269210e+00,   6.908272e+00
  5.416429e+02,   4.126000e+00,   3.052840e+01,   9.091553e-01,   5.651640e-04,   1.309166e+00,   6.960851e+00
  5.572148e+02,   4.148000e+00,   3.170412e+01,   9.625361e-01,   5.895612e-04,   1.349325e+00,   7.013784e+00
  5.733225e+02,   4.170000e+00,   3.290056e+01,   1.017813e+00,   6.146425e-04,   1.389687e+00,   7.067069e+00
  5.900250e+02,   4.192000e+00,   3.411799e+01,   1.075014e+00,   6.404932e-04,   1.430256e+00,   7.120704e+00
  6.073214e+02,   4.214000e+00,   3.535670e+01,   1.134166e+00,   6.670705e-04,   1.471032e+00,   7.174687e+00
  6.251929e+02,   4.236000e+00,   3.661699e+01,   1.195297e+00,   6.942821e-04,   1.512018e+00,   7.229016e+00
  6.436792e+02,   4.258000e+00,   3.789915e+01,   1.258437e+00,   7.221714e-04,   1.553215e+00,   7.283689e+00
  6.627888e+02,   4.280000e+00,   3.920347e+01,   1.323613e+00,   7.507078e-04,   1.594625e+00,   7.338705e+00
  6.825327e+02,   4.302000e+00,   4.053024e+01,   1.390855e+00,   7.798645e-04,   1.636250e+00,   7.394062e+00
  7.029240e+02,   4.324000e+00,   4.187975e+01,   1.460193e+00,   8.096180e-04,   1.678091e+00,   7.449759e+00
  7.239778e+02,   4.346000e+00,   4.325229e+01,   1.531656e+00,   8.399479e-04,   1.720150e+00,   7.505794e+00
  7.457103e+02,   4.368000e+00,   4.464818e+01,   1.605275e+00,   8.708365e-04,   1.762428e+00,   7.562166e+00
  7.681280e+02,   4.390000e+00,   4.606770e+01,   1.681079e+00,   9.022347e-04,   1.804927e+00,   7.618873e+00
  7.912518e+02,   4.412000e+00,   4.751114e+01,   1.759101e+00,   9.341341e-04,   1.847648e+00,   7.675915e+00
  8.151078e+02,   4.434000e+00,   4.897883e+01,   1.839370e+00,   9.665431e-04,   1.890593e+00,   7.733291e+00
  8.396970e+02,   4.456000e+00,   5.047105e+01,   1.921918e+00,   9.993886e-04,   1.933762e+00,   7.790999e+00
  8.650525e+02,   4.478000e+00,   5.198811e+01,   2.006778e+00,   1.032700e-03,   1.977159e+00,   7.849039e+00
  8.911775e+02,   4.500000e+00,   5.353032e+01,   2.093981e+00,   1.066404e-03,   2.020783e+00,   7.907410e+00
  9.181037e+02,   4.522000e+00,   5.509799e+01,   2.183560e+00,   1.100527e-03,   2.064636e+00,   7.966111e+00
  9.458463e+02,   4.544000e+00,   5.669143e+01,   2.275549e+00,   1.135034e-03,   2.108719e+00,   8.025142e+00
  9.744191e+02,   4.566000e+00,   5.831096e+01,   2.369979e+00,   1.169884e-03,   2.153034e+00,   8.084502e+00
  1.003847e+03,   4.588000e+00,   5.995688e+01,   2.466885e+00,   1.205075e-03,   2.197583e+00,   8.144191e+00
  1.034151e+03,   4.610000e+00,   6.162952e+01,   2.566301e+00,   1.240590e-03,   2.242365e+00,   8.204208e+00
  1.065352e+03,   4.632000e+00,   6.332921e+01,   2.668261e+00,   1.276406e-03,   2.287383e+00,   8.264553e+00
  1.097467e+03,   4.654000e+00,   6.505625e+01,   2.772800e+00,   1.312493e-03,   2.332637e+00,   8.325226e+00
  1.130523e+03,   4.676000e+00,   6.681100e+01,   2.879953e+00,   1.348850e-03,   2.378130e+00,   8.386226e+00
  1.164543e+03,   4.698000e+00,   6.859376e+01,   2.989755e+00,   1.385469e-03,   2.423862e+00,   8.447554e+00
  1.199543e+03,   4.720000e+00,   7.040488e+01,   3.102242e+00,   1.422293e-03,   2.469834e+00,   8.509210e+00
  1.235554e+03,   4.742000e+00,   7.224469e+01,   3.217451e+00,   1.459348e-03,   2.516048e+00,   8.571193e+00
  1.272594e+03,   4.764000e+00,   7.411354e+01,   3.335418e+00,   1.496595e-03,   2.562505e+00,   8.633504e+00
  1.310687e+03,   4.786000e+00,   7.601176e+01,   3.456181e+00,   1.534018e-03,   2.609206e+00,   8.696143e+00
  1.349860e+03,   4.808000e+00,   7.793970e+01,   3.579777e+00,   1.571610e-03,   2.656153e+00,   8.759111e+00
  1.390136e+03,   4.830000e+00,   7.989772e+01,   3.706243e+00,   1.609356e-03,   2.703346e+00,   8.822407e+00
  1.431542e+03,   4.852000e+00,   8.188617e+01,   3.835619e+00,   1.647240e-03,   2.750788e+00,   8.886033e+00
  1.474100e+03,   4.874000e+00,   8.390541e+01,   3.967942e+00,   1.685246e-03,   2.798478e+00,   8.949988e+00
  1.517837e+03,   4.896000e+00,   8.595579e+01,   4.103254e+00,   1.723357e-03,   2.846419e+00,   9.014274e+00
